Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
Possible data transfer via DNS tunnel,Analysis of DNS transactions from %{CompromisedEntity} detected a possible DNS tunnel. Such activity  while possibly legitimate user behavior  is frequently performed by attackers to evade network monitoring and filtering. Typical related attacker activity is likely to include the download and execution of malicious software or remote administration tools.,Exfiltration,Low,Alerts for DNS,(AzureDNS_DataObfuscation)
Azure Resource Manager operation from suspicious IP address,Microsoft Defender for Resource Manager detected an operation from an IP address that has been marked as suspicious in threat intelligence feeds.,Execution,Medium,Alerts for Resource Manager,(ARM_OperationFromSuspiciousIP)
Azure Resource Manager operation from suspicious proxy IP address,Microsoft Defender for Resource Manager detected a resource management operation from an IP address that is associated with proxy services  such as TOR. While this behavior can be legitimate  it’s often seen in malicious activities  when threat actors try to hide their source IP.,Defense Evasion,Medium,Alerts for Resource Manager,(ARM_OperationFromSuspiciousProxyIP)
MicroBurst exploitation toolkit used to enumerate resources in your subscriptions,A PowerShell script was run in your subscription and performed suspicious pattern of executing an information gathering operations to discover resources  permissions  and network structures. Threat actors use automated scripts  like MicroBurst  to gather information for malicious activities. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,-,Low,Alerts for Resource Manager,(ARM_MicroBurst.AzDomainInfo)
MicroBurst exploitation toolkit used to enumerate resources in your subscriptions,A PowerShell script was run in your subscription and performed suspicious pattern of executing an information gathering operations to discover resources  permissions  and network structures. Threat actors use automated scripts  like MicroBurst  to gather information for malicious activities. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,-,Low,Alerts for Resource Manager,(ARM_MicroBurst.AzureDomainInfo)
MicroBurst exploitation toolkit used to execute code on your virtual machine,A PowerShell script was run in your subscription and performed a suspicious pattern of executing code on a VM or a list of VMs. Threat actors use automated scripts  like MicroBurst  to run a script on a VM for malicious activities. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,Execution,High,Alerts for Resource Manager,(ARM_MicroBurst.AzVMBulkCMD)
MicroBurst exploitation toolkit used to execute code on your virtual machine,MicroBurst’s exploitation toolkit was used to execute code on your virtual machines. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(RM_MicroBurst.AzureRmVMBulkCMD)
MicroBurst exploitation toolkit used to extract keys from your Azure key vaults,A PowerShell script was run in your subscription and performed a suspicious pattern of extracting keys from an Azure Key Vault(s). Threat actors use automated scripts  like MicroBurst  to list keys and use them to access sensitive data or perform lateral movement. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,-,High,Alerts for Resource Manager,(ARM_MicroBurst.AzKeyVaultKeysREST)
MicroBurst exploitation toolkit used to extract keys to your storage accounts,A PowerShell script was run in your subscription and performed a suspicious pattern of extracting keys to Storage Account(s). Threat actors use automated scripts  like MicroBurst  to list keys and use them to access sensitive data in your Storage Account(s). This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,Collection,High,Alerts for Resource Manager,(ARM_MicroBurst.AZStorageKeysREST)
MicroBurst exploitation toolkit used to extract secrets from your Azure key vaults,A PowerShell script was run in your subscription and performed a suspicious pattern of extracting secrets from an Azure Key Vault(s). Threat actors use automated scripts  like MicroBurst  to list secrets and use them to access sensitive data or perform lateral movement. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,-,High,Alerts for Resource Manager,(ARM_MicroBurst.AzKeyVaultSecretsREST)
PowerZure exploitation toolkit used to elevate access from Azure AD to Azure,PowerZure exploitation toolkit was used to elevate access from AzureAD to Azure. This was detected by analyzing Azure Resource Manager operations in your tenant.,-,High,Alerts for Resource Manager,(ARM_PowerZure.AzureElevatedPrivileges)
PowerZure exploitation toolkit used to enumerate resources,PowerZure exploitation toolkit was used to enumerate resources on behalf of a legitimate user account in your organization. This was detected by analyzing Azure Resource Manager operations in your subscription.,Collection,High,Alerts for Resource Manager,(ARM_PowerZure.GetAzureTargets)
PowerZure exploitation toolkit used to enumerate storage containers  shares  and tables,PowerZure exploitation toolkit was used to enumerate storage shares  tables  and containers. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(ARM_PowerZure.ShowStorageContent)
PowerZure exploitation toolkit used to execute a Runbook in your subscription,PowerZure exploitation toolkit was used to execute a Runbook. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(ARM_PowerZure.StartRunbook)
PowerZure exploitation toolkit used to extract Runbooks content,PowerZure exploitation toolkit was used to extract Runbook content. This was detected by analyzing Azure Resource Manager operations in your subscription.,Collection,High,Alerts for Resource Manager,(ARM_PowerZure.AzureRunbookContent)
PREVIEW - Azurite toolkit run detected,A known cloud-environment reconnaissance toolkit run has been detected in your environment. The tool Azurite can be used by an attacker (or penetration tester) to map your subscriptions’ resources and identify insecure configurations.,Collection,High,Alerts for Resource Manager,(ARM_Azurite)
PREVIEW - Suspicious creation of compute resources detected,Microsoft Defender for Resource Manager identified a suspicious creation of compute resources in your subscription utilizing Virtual Machines/Azure Scale Set. The identified operations are designed to allow administrators to efficiently manage their environments by deploying new resources when needed. While this activity may be legitimate  a threat actor might utilize such operations to conduct crypto mining.,Impact,Medium,Alerts for Resource Manager,(ARM_SuspiciousComputeCreation)
PREVIEW - Suspicious key vault recovery detected,Microsoft Defender for Resource Manager detected a suspicious recovery operation for a soft-deleted key vault resource.,Lateral movement,Medium/high,Alerts for Resource Manager,(Arm_Suspicious_Vault_Recovering)
PREVIEW - Suspicious management session using an inactive account detected,Subscription activity logs analysis has detected suspicious behavior. A principal not in use for a long period of time is now performing actions that can secure persistence for an attacker.,Persistence,Medium,Alerts for Resource Manager,(ARM_UnusedAccountPersistence)
PREVIEW - Suspicious invocation of a high-risk ‘Credential Access’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to access credentials. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Credential access,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.CredentialAccess)
PREVIEW - Suspicious invocation of a high-risk ‘Data Collection’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to collect data. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to collect sensitive data on resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Collection,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.Collection)
PREVIEW - Suspicious invocation of a high-risk ‘Defense Evasion’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to evade defenses. The identified operations are designed to allow administrators to efficiently manage the security posture of their environments. While this activity may be legitimate  a threat actor might utilize such operations to avoid being detected while compromising resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Defense Evasion,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.DefenseEvasion)
PREVIEW - Suspicious invocation of a high-risk ‘Execution’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation on a machine in your subscription which might indicate an attempt to execute code. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Defense Execution,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.Execution)
PREVIEW - Suspicious invocation of a high-risk ‘Impact’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempted configuration change. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Impact,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.Impact)
PREVIEW - Suspicious invocation of a high-risk ‘Initial Access’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to access restricted resources. The identified operations are designed to allow administrators to efficiently access their environments. While this activity may be legitimate  a threat actor might utilize such operations to gain initial access to restricted resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Initial access,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.InitialAccess)
PREVIEW - Suspicious invocation of a high-risk ‘Lateral Movement Access’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to perform lateral movement. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to compromise more resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Lateral movement,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.LateralMovement)
PREVIEW - Suspicious invocation of a high-risk ‘persistence’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to establish persistence. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to establish persistence in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Persistence,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.Persistence)
PREVIEW - Suspicious invocation of a high-risk ‘Privilege Escalation’ operation by a service principal detected,Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to escalate privileges. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to escalate privileges while compromising resources in your environment. This can indicate that the service principal is compromised and is being used with malicious intent.,Privilege escalation,Medium,Alerts for Resource Manager,(ARM_AnomalousServiceOperation.PrivilegeEscalation)
PREVIEW - Suspicious management session using an inactive account detected,Subscription activity logs analysis has detected suspicious behavior. A principal not in use for a long period of time is now performing actions that can secure persistence for an attacker.,Persistence,Medium,Alerts for Resource Manager,(ARM_UnusedAccountPersistence)
PREVIEW - Suspicious management session using PowerShell detected,Subscription activity logs analysis has detected suspicious behavior. A principal that doesn’t regularly use PowerShell to manage the subscription environment is now using PowerShell  and performing actions that can secure persistence for an attacker.,Persistence,Medium,Alerts for Resource Manager,(ARM_UnusedAppPowershellPersistence)
PREVIEW – Suspicious management session using Azure portal detected,Analysis of your subscription activity logs has detected a suspicious behavior. A principal that doesn’t regularly use the Azure portal (Ibiza) to manage the subscription environment (hasn’t used Azure portal to manage for the last 45 days  or a subscription that it is actively managing)  is now using the Azure portal and performing actions that can secure persistence for an attacker.,Persistence,Medium,Alerts for Resource Manager,(ARM_UnusedAppIbizaPersistence)
Privileged custom role created for your subscription in a suspicious way (Preview),Microsoft Defender for Resource Manager detected a suspicious creation of privileged custom role definition in your subscription. This operation might have been performed by a legitimate user in your organization. Alternatively  it might indicate that an account in your organization was breached  and that the threat actor is trying to create a privileged role to use in the future to evade detection.,Privilege Escalation  Defense Evasion,Low,Alerts for Resource Manager,(ARM_PrivilegedRoleDefinitionCreation)
Suspicious Azure role assignment detected (Preview),Microsoft Defender for Resource Manager identified a suspicious Azure role assignment / performed using PIM (Privileged Identity Management) in your tenant which might indicate that an account in your organization was compromised. The identified operations are designed to allow administrators to grant principals access to Azure resources. While this activity may be legitimate  a threat actor might utilize role assignment to escalate their permissions allowing them to advance their attack.,Lateral Movement  Defense Evasion,Low (PIM) / High,Alerts for Resource Manager,(ARM_AnomalousRBACRoleAssignment)
Suspicious invocation of a high-risk ‘Credential Access’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to access credentials. The identified operations are designed to allow administrators to efficiently access their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Credential Access,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.CredentialAccess)
Suspicious invocation of a high-risk ‘Data Collection’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to collect data. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to collect sensitive data on resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Collection,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.Collection)
Suspicious invocation of a high-risk ‘Defense Evasion’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to evade defenses. The identified operations are designed to allow administrators to efficiently manage the security posture of their environments. While this activity may be legitimate  a threat actor might utilize such operations to avoid being detected while compromising resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Defense Evasion,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.DefenseEvasion)
Suspicious invocation of a high-risk ‘Execution’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation on a machine in your subscription which might indicate an attempt to execute code. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Execution,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.Execution)
Suspicious invocation of a high-risk ‘Impact’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempted configuration change. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to access restricted credentials and compromise resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Impact,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.Impact)
Suspicious invocation of a high-risk ‘Initial Access’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to access restricted resources. The identified operations are designed to allow administrators to efficiently access their environments. While this activity may be legitimate  a threat actor might utilize such operations to gain initial access to restricted resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Initial Access,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.InitialAccess)
Suspicious invocation of a high-risk ‘Lateral Movement’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to perform lateral movement. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to compromise more resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Lateral Movement,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.LateralMovement)
Suspicious invocation of a high-risk ‘Persistence’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to establish persistence. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to establish persistence in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Persistence,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.Persistence)
Suspicious invocation of a high-risk ‘Privilege Escalation’ operation detected (Preview),Microsoft Defender for Resource Manager identified a suspicious invocation of a high-risk operation in your subscription which might indicate an attempt to escalate privileges. The identified operations are designed to allow administrators to efficiently manage their environments. While this activity may be legitimate  a threat actor might utilize such operations to escalate privileges while compromising resources in your environment. This can indicate that the account is compromised and is being used with malicious intent.,Privilege Escalation,Medium,Alerts for Resource Manager,(ARM_AnomalousOperation.PrivilegeEscalation)
Usage of MicroBurst exploitation toolkit to run an arbitrary code or exfiltrate Azure Automation account credentials,A PowerShell script was run in your subscription and performed a suspicious pattern of executing an arbitrary code or exfiltrate Azure Automation account credentials. Threat actors use automated scripts  like MicroBurst  to run arbitrary code for malicious activities. This was detected by analyzing Azure Resource Manager operations in your subscription. This operation might indicate that an identity in your organization was breached  and that the threat actor is trying to compromise your environment for malicious intentions.,Persistence  Credential Access,High,Alerts for Resource Manager,(ARM_MicroBurst.RunCodeOnBehalf)
Usage of NetSPI techniques to maintain persistence in your Azure environment,Usage of NetSPI persistence technique to create a webhook backdoor and maintain persistence in your Azure environment. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(ARM_NetSPI.MaintainPersistence)
Usage of PowerZure exploitation toolkit to run an arbitrary code or exfiltrate Azure Automation account credentials,PowerZure exploitation toolkit detected attempting to run code or exfiltrate Azure Automation account credentials. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(ARM_PowerZure.RunCodeOnBehalf)
Usage of PowerZure function to maintain persistence in your Azure environment,PowerZure exploitation toolkit detected creating a webhook backdoor to maintain persistence in your Azure environment. This was detected by analyzing Azure Resource Manager operations in your subscription.,-,High,Alerts for Resource Manager,(ARM_PowerZure.MaintainPersistence)
Suspicious classic role assignment detected (Preview),Microsoft Defender for Resource Manager identified a suspicious classic role assignment in your tenant which might indicate that an account in your organization was compromised. The identified operations are designed to provide backward compatibility with classic roles that are no longer commonly used. While this activity may be legitimate  a threat actor might utilize such assignment to grant permissions to another user account under their control.,Lateral Movement  Defense Evasion,High,Alerts for Resource Manager,(ARM_AnomalousClassicRoleAssignment)
Suspected brute force attack using a valid user,A potential brute force attack has been detected on your resource. The attacker is using the valid user (username)  which has permissions to log in.,PreAttack,High,Alerts for open-source relational databases,"(SQL.PostgreSQL_BruteForce SQL.MariaDB_BruteForce SQL.MySQL_BruteForce)"
Suspected successful brute force attack,A successful login occurred after an apparent brute force attack on your resource.,PreAttack,High,Alerts for open-source relational databases,"(SQL.PostgreSQL_BruteForce SQL.MySQL_BruteForce SQL.MariaDB_BruteForce)"
Suspected brute force attack,A potential brute force attack has been detected on your resource.,PreAttack,High,Alerts for open-source relational databases,"(SQL.PostgreSQL_BruteForce SQL.MySQL_BruteForce SQL.MariaDB_BruteForce)"
Attempted logon by a potentially harmful application,A potentially harmful application attempted to access your resource.,PreAttack,High,Alerts for open-source relational databases,"(SQL.PostgreSQL_HarmfulApplication SQL.MariaDB_HarmfulApplication SQL.MySQL_HarmfulApplication)"
Login from a principal user not seen in 60 days,A principal user not seen in the last 60 days has logged into your database. If this database is new or this is expected behavior caused by recent changes in the users accessing the database  Defender for Cloud will identify significant changes to the access patterns and attempt to prevent future false positives.,Exploitation,Medium,Alerts for open-source relational databases,"(SQL.PostgreSQL_PrincipalAnomaly SQL.MariaDB_PrincipalAnomaly SQL.MySQL_PrincipalAnomaly)"
Login from a domain not seen in 60 days,A user has logged in to your resource from a domain no other users have connected from in the last 60 days. If this resource is new or this is expected behavior caused by recent changes in the users accessing the resource  Defender for Cloud will identify significant changes to the access patterns and attempt to prevent future false positives.,Exploitation,Medium,Alerts for open-source relational databases,"(SQL.MariaDB_DomainAnomaly SQL.PostgreSQL_DomainAnomaly SQL.MySQL_DomainAnomaly)"
Log on from an unusual Azure Data Center,Someone logged on to your resource from an unusual Azure Data Center.,Probing,Low,Alerts for open-source relational databases,"(SQL.PostgreSQL_DataCenterAnomaly SQL.MariaDB_DataCenterAnomaly SQL.MySQL_DataCenterAnomaly)"
Logon from an unusual cloud provider,Someone logged on to your resource from a cloud provider not seen in the last 60 days. It's quick and easy for threat actors to obtain disposable compute power for use in their campaigns. If this is expected behavior caused by the recent adoption of a new cloud provider  Defender for Cloud will learn over time and attempt to prevent future false positives.,Exploitation,Medium,Alerts for open-source relational databases,"(SQL.PostgreSQL_CloudProviderAnomaly SQL.MariaDB_CloudProviderAnomaly SQL.MySQL_CloudProviderAnomaly)"
Log on from an unusual location,Someone logged on to your resource from an unusual Azure Data Center.,Exploitation,Medium,Alerts for open-source relational databases,"(SQL.MariaDB_GeoAnomaly SQL.PostgreSQL_GeoAnomaly SQL.MySQL_GeoAnomaly)"
Login from a suspicious IP,Your resource has been accessed successfully from an IP address that Microsoft Threat Intelligence has associated with suspicious activity.,PreAttack,Medium,Alerts for open-source relational databases,"(SQL.PostgreSQL_SuspiciousIpAnomaly SQL.MariaDB_SuspiciousIpAnomaly SQL.MySQL_SuspiciousIpAnomaly)"
A possible vulnerability to SQL Injection,An application has generated a faulty SQL statement in the database. This can indicate a possible vulnerability to SQL injection attacks. There are two possible reasons for a faulty statement. A defect in application code might have constructed the faulty SQL statement. Or application code or stored procedures didn’t sanitize user input when constructing the faulty SQL statement which can be exploited for SQL injection.,PreAttack,Medium,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_VulnerabilityToSqlInjection SQL.VM_VulnerabilityToSqlInjection SQL.MI_VulnerabilityToSqlInjection SQL.DW_VulnerabilityToSqlInjection Synapse.SQLPool_VulnerabilityToSqlInjection)"
Attempted logon by a potentially harmful application,A potentially harmful application attempted to access your resource.,PreAttack,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_HarmfulApplication SQL.VM_HarmfulApplication SQL.MI_HarmfulApplication SQL.DW_HarmfulApplication Synapse.SQLPool_HarmfulApplication)"
Log on from an unusual Azure Data Center,There has been a change in the access pattern to an SQL Server where someone has signed in to the server from an unusual Azure Data Center. In some cases the alert detects a legitimate action (a new application or Azure service). In other cases the alert detects a malicious action (attacker operating from breached resource in Azure).,Probing,Low,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_DataCenterAnomaly SQL.VM_DataCenterAnomaly SQL.DW_DataCenterAnomaly SQL.MI_DataCenterAnomaly Synapse.SQLPool_DataCenterAnomaly)"
Log on from an unusual location,There has been a change in the access pattern to SQL Server where someone has signed in to the server from an unusual geographical location. In some cases the alert detects a legitimate action (a new application or developer maintenance). In other cases the alert detects a malicious action (a former employee or external attacker).,Exploitation,Medium,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_GeoAnomaly SQL.VM_GeoAnomaly SQL.DW_GeoAnomaly SQL.MI_GeoAnomaly Synapse.SQLPool_GeoAnomaly)"
Login from a principal user not seen in 60 days,A principal user not seen in the last 60 days has logged into your database. If this database is new or this is expected behavior caused by recent changes in the users accessing the database, Defender for Cloud will identify significant changes to the access patterns and attempt to prevent future false positives.,Exploitation,Medium,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_PrincipalAnomaly SQL.VM_PrincipalAnomaly SQL.DW_PrincipalAnomaly SQL.MI_PrincipalAnomaly Synapse.SQLPool_PrincipalAnomaly)"
Login from a domain not seen in 60 days,A user has logged in to your resource from a domain no other users have connected from in the last 60 days. If this resource is new or this is expected behavior caused by recent changes in the users accessing the resource, Defender for Cloud will identify significant changes to the access patterns and attempt to prevent future false positives.,Exploitation,Medium,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_DomainAnomaly SQL.VM_DomainAnomaly SQL.DW_DomainAnomaly SQL.MI_DomainAnomaly Synapse.SQLPool_DomainAnomaly)"
Login from a suspicious IP,Your resource has been accessed successfully from an IP address that Microsoft Threat Intelligence has associated with suspicious activity.,PreAttack,Medium,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_SuspiciousIpAnomaly SQL.VM_SuspiciousIpAnomaly SQL.DW_SuspiciousIpAnomaly SQL.MI_SuspiciousIpAnomaly Synapse.SQLPool_SuspiciousIpAnomaly)"
Potential SQL injection,An active exploit has occurred against an identified application vulnerable to SQL injection. This means an attacker is trying to inject malicious SQL statements by using the vulnerable application code or stored procedures.,PreAttack,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_PotentialSqlInjection SQL.VM_PotentialSqlInjection SQL.MI_PotentialSqlInjection SQL.DW_PotentialSqlInjection Synapse.SQLPool_PotentialSqlInjection)"
Suspected brute force attack using a valid user,A potential brute force attack has been detected on your resource. The attacker is using the valid user (username), which has permissions to log in.,PreAttack,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_BruteForce SQL.VM_BruteForce SQL.DW_BruteForce SQL.MI_BruteForce Synapse.SQLPool_BruteForce)"
Suspected brute force attack,A potential brute force attack has been detected on your resource.,PreAttack,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_BruteForce SQL.VM_BruteForce SQL.DW_BruteForce SQL.MI_BruteForce Synapse.SQLPool_BruteForce)"
Suspected successful brute force attack,A successful login occurred after an apparent brute force attack on your resource.,PreAttack,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_BruteForce SQL.VM_BruteForce SQL.DW_BruteForce SQL.MI_BruteForce Synapse.SQLPool_BruteForce)"
SQL Server potentially spawned a Windows command shell and accessed an abnormal external source,A suspicious SQL statement potentially spawned a Windows command shell with an external source that hasn’t been seen before. Executing a shell that accesses an external source is a method used by attackers to download malicious payload and then execute it on the machine and compromise it. This enables an attacker to perform malicious tasks under remote direction. Alternatively, accessing an external source can be used to exfiltrate data to an external destination.,Execution,High,Alerts for SQL Database and Azure Synapse Analytics,"(SQL.DB_ShellExternalSourceAnomaly SQL.MI_ShellExternalSourceAnomaly SQL.DW_ShellExternalSourceAnomaly SQL.VM_ShellExternalSourceAnomaly Synapse.SQLPool_ShellExternalSourceAnomaly)"
Unusual payload with obfuscated parts has been initiated by SQL Server,Someone has initiated a new payload utilizing the layer in SQL Server that communicates with the operating system while concealing the command in the SQL query. Attackers commonly hide impactful commands which are popularly monitored like xp_cmdshell, sp_add_job and others. Obfuscation techniques abuse legitimate commands like string concatenation, casting, base changing, and others, to avoid regex detection and hurt the readability of the logs.,Execution,High,Alerts for SQL Database and Azure Synapse Analytics,(SQL.VM_PotentialSqlInjection)
Exposed Postgres service with trust authentication configuration in Kubernetes detected (Preview),Kubernetes cluster configuration analysis detected exposure of a Postgres service by a load balancer. The service is configured with trust authentication method  which doesn’t require credentials.,InitialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S_ExposedPostgresTrustAuth)
Exposed Postgres service with risky configuration in Kubernetes detected (Preview),Kubernetes cluster configuration analysis detected exposure of a Postgres service by a load balancer with a risky configuration. Exposing the service to a wide range of IP addresses poses a security risk.,InitialAccess,Medium,Alerts for containers - Kubernetes clusters,(K8S_ExposedPostgresBroadIPRange)
Attempt to create a new Linux namespace from a container detected,Analysis of processes running within a container in Kubernetes cluster detected an attempt to create a new Linux namespace. While this behavior might be legitimate  it might indicate that an attacker tries to escape from the container to the node. Some CVE-2022-0185 exploitations use this technique.,PrivilegeEscalation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_NamespaceCreation)
A history file has been cleared,Analysis of processes running within a container or directly on a Kubernetes node  has detected that the command history log file has been cleared. Attackers may do this to cover their tracks. The operation was performed by the specified user account.,DefenseEvasion,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_HistoryFileCleared)
Abnormal activity of managed identity associated with Kubernetes (Preview),Analysis of Azure Resource Manager operations detected an abnormal behavior of a managed identity used by an AKS addon. The detected activity isn’t consistent with the behavior of the associated addon. While this activity can be legitimate  such behavior might indicate that the identity was gained by an attacker  possibly from a compromised container in the Kubernetes cluster.,Lateral Movement,Medium,Alerts for containers - Kubernetes clusters,(K8S_AbnormalMiActivity)
Abnormal Kubernetes service account operation detected,Kubernetes audit log analysis detected abnormal behavior by a service account in your Kubernetes cluster. The service account was used for an operation  which isn’t common for this service account. While this activity can be legitimate  such behavior might indicate that the service account is being used for malicious purposes.,Lateral Movement  Credential Access,Medium,Alerts for containers - Kubernetes clusters,(K8S_ServiceAccountRareOperation)
